id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update
57,https://www.coupang.com/vp/products/8673103310,lenovo,"¿ä°¡ ½½¸²7 14akp10, r7 350",1,,140,,,r7 350,32,onboard,4,1,14,8,8,8,1.798913043,119,-11.55046826,70,oled,6,0.72826087,7.57,0.507717391,9.25,1.25,8,ÄíÆÎ,0,0,0,,
21,https://www.coupang.com/vp/products/8670590507,lenovo,"¿ä°¡ ½½¸²7 14ill10, u5 228v",1,,155,,,u5 228v,32,onboard,2,1,14,8,8,8,1.798913043,119,-11.55046826,70,oled,6,0.72826087,9.66,2.597717391,7.25,1.25,6,ÄíÆÎ,0,0,0,,
7,https://www.coupang.com/vp/products/8670590493,lenovo,"¿ä°¡ ½½¸²7 14ill10, u7 258v",1,,165,,,u7 258v,32,onboard,2,1,14,8,8,8,1.798913043,119,-11.55046826,70,oled,7,1.72826087,9.66,2.597717391,7.25,1.25,6,ÄíÆÎ,0,0,0,,
3,https://www.coupang.com/vp/products/8408971036,lenovo,"¿ä°¡ ½½¸²7 15ill9, u7 258v",1,,175,,,u7 258v,32,onboard,2,1,15.3,7,8,7.5,1.298913043,153,-3.90292311,70,ips,7,1.72826087,9.33,2.267717391,7.5,1.5,6,ÄíÆÎ,0,0,0,,
18,https://www.coupang.com/vp/products/7955896989?itemId=21980916755&vendorItemId=89028561695,lenovo,"¿ä°¡ºÏ  9i 13imu9, u7 155u",1,,250,,,u7 155u,32,onboard,4,1,13.3,8,8,8,1.798913043,134,10.51181817,80,oled,4,-1.27173913,8.42,1.357717391,9.5,1.25,8.25,ÄíÆÎ,1,0,3,,
31,https://www.coupang.com/vp/products/8518435229?itemId=24662380297&vendorItemId=91672792964,lg,"±×·¥ 14, u5 225h",1,,130,,,u5 225h,16,onboard,1,1,14,6,5,5.5,-0.701086957,112,-16.75338189,72,ips,6,0.72826087,9,1.937717391,8,0,8,ÄíÆÎ,0,0,1,,
36,https://www.coupang.com/vp/products/8518435273?itemId=24662380570&vendorItemId=91672793061,lg,"±×·¥ÇÁ·Î 16, u5 225h",1,,165,,,u5 225h,16,onboard,1,1,16,7,8,7.5,1.298913043,120,-30.43478261,77,ips,6,0.72826087,8.11,1.047717391,9.5,1.5,8,ÄíÆÎ,0,0,2,ºí·¢,
37,https://www.coupang.com/vp/products/8518435238?itemId=24662380338&vendorItemId=91672792997,lg,"±×·¥ÇÁ·Î 16, u5 225h",2,,165,,,u5 225h,16,onboard,1,1,16,7,8,7.5,1.298913043,120,-30.43478261,77,ips,6,0.72826087,8.11,1.047717391,9.5,1.5,8,ÄíÆÎ,0,0,2,È­ÀÌÆ®,
24,https://www.coupang.com/vp/products/8665643751?itemId=25151207734&vendorItemId=92149671495,lg,"±×·¥ÇÁ·Î 16, u5 226v",1,,170,,,u5 226v,16,onboard,1,1,16,7,8,7.5,1.298913043,120,-30.43478261,77,ips,6,0.72826087,10.27,3.207717391,7.5,1.5,6,ÄíÆÎ,0,0,2,256GB,
25,https://www.coupang.com/vp/products/8798723192?itemId=25617728073&vendorItemId=92608107963,lg,"±×·¥ÇÁ·Î 16, u5 226v",2,,170,,,u5 226v,16,onboard,2,1,16,7,8,7.5,1.298913043,120,-30.43478261,77,ips,6,0.72826087,10.27,3.207717391,7.5,1.5,6,ÄíÆÎ,0,0,2,512GB,
38,https://www.coupang.com/vp/products/8518435232?itemId=24662380325&vendorItemId=91672792975,lg,"±×·¥ÇÁ·Î 17, u5 225h",1,,175,,,u5 225h,16,onboard,1,1,17,7,8,7.5,1.298913043,139,-27.40756215,77,ips,6,0.72826087,8.11,1.047717391,9.5,1.5,8,ÄíÆÎ,0,0,2,,
39,https://www.coupang.com/vp/products/8518435234?itemId=24662380327&vendorItemId=91672792982,lg,"±×·¥ÇÁ·Î 360 16, u5 225h",1,,165,,,u5 225h,16,onboard,1,1,16,7,8,7.5,1.298913043,140,-18.84057971,77,ips,6,0.72826087,8.11,1.047717391,9.5,1.5,8,ÄíÆÎ,1,0,2,,
