id,link,brand,name,remark,variant,sold_out,on_crawl,is_active,price_reference,price_current,discount_rate,cpu,gpu,ram,ram_type,ssd,window,screen_size,screen_type,portability,display,cpu_style,weight,battery,Unnamed: 25,market,lasust_update,last_update,benefit_count
,https://www.coupang.com/vp/products/9074269633?itemid=26652309626&vendoritemid=93624824750,acer,"니트로 16 슬림, R7 350/5070",,,,1.0,1.0,210.0,218.9,4.2,R7 350,5070,32.0,dual,1024.0,0.0,16.0,,5.0,7.0,0.0,,,,쿠팡,,2026-04-17 00:07,4.0
,https://www.coupang.com/vp/products/9234391064?itemid=27300437532&vendoritemid=94266985637,acer,"니트로 18, R7 350/5060",,,,1.0,1.0,180.0,209.9,16.6,R7 350,5060,32.0,dual,1024.0,0.0,18.0,,1.0,7.0,0.0,,,,쿠팡,,2026-04-17 00:15,4.0
,https://www.coupang.com/vp/products/9200481145?itemid=27164469297&vendoritemid=94132178204,acer,"니트로 18, R7 350/5070",,,,1.0,1.0,200.0,228.9,14.5,R7 350,5070,32.0,dual,1024.0,0.0,18.0,,1.0,7.0,0.0,,,,쿠팡,,2026-04-17 00:22,4.0
,https://www.coupang.com/vp/products/9205272622?itemid=27183962156&vendoritemid=94151511891,acer,"니트로 V 16 슬림, R7 260/5060",,,,1.0,1.0,135.0,221.253,63.9,R7 260,5060,16.0,single,512.0,0.0,16.0,,6.0,7.0,0.0,,,,쿠팡,,2026-04-17 00:28,0.0
,https://www.coupang.com/vp/products/8904297554?itemid=26003982478&vendoritemid=92986077906,acer,"헬리오스 네오 16 슬림, U9 275HX/5060",,,,1.0,1.0,210.0,219.9,4.7,U9 275HX,5060,32.0,dual,1024.0,0.0,16.0,,6.0,9.0,1.0,,,,쿠팡,,2026-04-17 00:35,4.0
,https://www.coupang.com/vp/products/8880588148?itemid=25917512831&vendoritemid=92903064695,acer,"헬리오스 네오 16, U9 275HX/5070",,,,1.0,1.0,230.0,223.8,-2.7,U9 275HX,5070,32.0,dual,1024.0,0.0,16.0,,3.0,8.0,1.0,,,,쿠팡,,2026-04-17 00:41,4.0
,https://www.coupang.com/vp/products/8882397835?itemid=25923808163&vendoritemid=92909249701,acer,"헬리오스 네오 16, U9 275HX/5070 Ti",,,,1.0,1.0,270.0,306.399,13.5,U9 275HX,5070 Ti,32.0,dual,1024.0,0.0,16.0,,3.0,8.0,1.0,,,,쿠팡,,2026-04-17 00:49,2.0
,https://www.coupang.com/vp/products/8971714769?itemid=26258100341&vendoritemid=93236465468,acer,"헬리오스 네오 18, U9 275HX/5070 Ti",,,,1.0,1.0,285.0,297.899,4.5,U9 275HX,5070 Ti,32.0,dual,1024.0,0.0,18.0,,1.0,8.0,1.0,,,,쿠팡,,2026-04-17 00:58,4.0
,https://www.coupang.com/vp/products/8733078928?itemid=25376712122&vendoritemid=92370774835,asus,"ROG 스트릭스 G16, R9 9955HX3D/5070 Ti",프리도스,1.0,,1.0,1.0,280.0,304.9,8.9,R9 9955HX3D,5070 Ti,16.0,single,1024.0,0.0,16.0,,2.0,8.0,1.0,,,,쿠팡,,2026-04-17 01:06,4.0
,https://www.coupang.com/vp/products/8733078928?itemid=25777643455&vendoritemid=92765623467,asus,"ROG 스트릭스 G16, R9 9955HX3D/5070 Ti",win11,2.0,,1.0,1.0,285.0,304.9,7.0,R9 9955HX3D,5070 Ti,16.0,single,1024.0,0.0,16.0,,2.0,8.0,1.0,,,,쿠팡,,2026-04-17 01:13,4.0
,https://www.coupang.com/vp/products/8721382195?itemid=25333537099&vendoritemid=92328320231,asus,"ROG 스트릭스 G16, U9 275HX/5080",,,,1.0,1.0,400.0,414.9,3.7,U9 275HX,5080,32.0,dual,1024.0,0.0,16.0,,2.0,8.0,1.0,,,,쿠팡,,2026-04-17 01:21,4.0
,https://www.coupang.com/vp/products/8790276970?itemid=25584164030&vendoritemid=92575058855,asus,"ROG 스트릭스 G18, U9 275HX/5070",,,,1.0,1.0,240.0,298.966,24.6,U9 275HX,5070,32.0,dual,1024.0,0.0,18.0,,1.0,8.0,1.0,,,,쿠팡,,2026-04-17 01:28,4.0
,https://www.coupang.com/vp/products/8792486494?itemid=25592949982&vendoritemid=92583699379,asus,"ROG 스트릭스 G18, U9 275HX/5070 Ti",,,,1.0,1.0,285.0,354.83,24.5,U9 275HX,5070 Ti,32.0,dual,1024.0,0.0,18.0,,1.0,8.0,1.0,,,,쿠팡,,2026-04-17 01:35,4.0
,https://www.coupang.com/vp/products/8852815391?itemid=25809161282&vendoritemid=92796439383,asus,"TUF A14, R7 260/5060",512GB,1.0,2.0,1.0,1.0,198.0,,,R7 260,5060,32.0,onboard,512.0,0.0,14.0,,9.0,6.0,0.0,,,,쿠팡,,,
,https://www.coupang.com/vp/products/8952675716?itemid=26188751314&vendoritemid=93168176760,asus,"TUF A14, R7 260/5060",1TB,2.0,,1.0,1.0,205.0,348.47,70.0,R7 260,5060,32.0,onboard,1024.0,0.0,14.0,,9.0,6.0,0.0,,,,쿠팡,,2026-04-17 02:05,0.0
,https://www.coupang.com/vp/products/8899002151?itemid=25984595232&vendoritemid=92967046664,asus,"TUF A14, R7 350/5060",,,,1.0,1.0,215.0,267.8,24.6,R7 350,5060,32.0,onboard,1024.0,0.0,14.0,,9.0,6.0,0.0,,,,쿠팡,,2026-04-17 02:10,0.0
,https://www.coupang.com/vp/products/8853447738?itemid=25811877071&vendoritemid=92799026566,asus,"TUF A16, R7 260/5050",,,,1.0,1.0,145.0,151.8,4.7,R7 260,5050,16.0,single,512.0,0.0,16.0,,6.0,4.0,0.0,,,,쿠팡,,2026-04-17 02:16,4.0
,https://www.coupang.com/vp/products/8774172630?itemid=25524523223&vendoritemid=92516319080,asus,"TUF A16, R7 260/5060",,,,1.0,1.0,165.0,179.9,9.0,R7 260,5060,16.0,single,512.0,0.0,16.0,,6.0,4.0,0.0,,,,쿠팡,,2026-04-17 02:22,0.0
